Mes,Numero_NF,Data,Valor,Chave,Status
JANEIRO,8,2026-01-13,870.0,411990522196490140001690000000000826013008617674,EMITIDA
FEVEREIRO,9,2026-02-11,970.0,411990522196490140001690000000000926023180817970,CANCELADA
FEVEREIRO,10,2026-02-11,970.0,411990522196490140001690000000001026027732877326,EMITIDA
MARÇO,11,2026-03-26,350.0,411990522196490140001690000000001126039341467011,EMITIDA
ABRIL,12,2026-04-14,1400.0,411990522196490140001690000000001226040088423918,CANCELADA
ABRIL,13,2026-04-15,7460.0,411990522196490140001690000000001326045476722160,EMITIDA
ABRIL,14,2026-04-16,580.0,411990522196490140001690000000001426044529367275,CANCELADA
ABRIL,15,2026-04-16,580.0,411990522196490140001690000000001526047722025907,EMITIDA
MAIO,16,2026-04-15,8270.0,411990522196490140001690000000001626052466720745,EMITIDA
JULHO,17,2026-07-31,5500.0,411990522196490140001690000000001726089442859967,CANCELADA
JULHO,18,2026-07-31,5500.0,411990522196490140001690000000001826089563267517,CANCELADA
JULHO,19,2026-07-31,1500.0,411990522196490140001690000000001926089278962079,CANCELADA
AGOSTO,24,2026-08-19,380.0,41199052219649014000169000000000002426081606316800,EMITIDA
AGOSTO,25,2026-08-26,300.0,41199052219649014000169000000000002526083519081538,EMITIDA
AGOSTO,26,2026-08-26,1300.0,41199052219649014000169000000000002626089368698550,EMITIDA
AGOSTO,20,2026-08-04,6500.0,41199052219649014000169000000000002026089392183652,EMITIDA
AGOSTO,22,2026-08-11,250.0,41199052219649014000169000000000002226082099785458,EMITIDA
AGOSTO,23,2026-08-15,450.0,41199052219649014000169000000000002326082237030060,EMITIDA
SETEMBRO,27,2026-09-01,500.0,41199052219649014000169000000000002726090716331065,EMITIDA
